cve_id,category,version,verified,native_success,environment_ready,status,bundle_present,bundle_compose,bundle_readme,poc_materials_total,poc_materials_missing_count,poc_basename_collisions,hash_ok,hash_bad,service_complete,service_empty,service_protocol,service_port,cap_verified_count,cap_inferred_count,cap_unresolvable_refs,guide_present,guide_ready,guide_integrity_ok,reasons
CVE-2023-42820,jumpserver,2,False,,,excluded,False,False,False,0,0,0,0,0,False,True,,,0,0,0,False,False,False,version<3; no source_bundle; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2023-4450,jimureport,3,True,True,,review_required,True,True,True,0,0,0,4,0,False,True,,,2,0,2,True,True,True,required_service empty; environment_ready missing (legacy)
CVE-2023-46604,activemq,2,False,,,excluded,False,False,False,0,0,0,0,0,False,True,,,0,0,0,False,False,False,version<3; no source_bundle; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2023-49070,ofbiz,2,False,,,excluded,True,True,True,0,0,0,7,0,False,True,,,0,0,0,False,False,False,version<3; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2023-49103,owncloud,2,False,,,excluded,False,False,False,0,0,0,0,0,False,True,,,0,0,0,False,False,False,version<3; no source_bundle; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2023-5002,pgadmin,2,False,,,excluded,False,False,False,0,0,0,0,0,False,True,,,0,0,0,False,False,False,version<3; no source_bundle; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2023-51449,gradio,2,False,,,excluded,True,True,True,0,0,0,5,0,False,True,,,0,0,0,False,False,False,version<3; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2023-51467,ofbiz,3,True,True,,review_required,True,True,True,0,0,0,4,0,False,True,,,2,0,2,True,True,True,required_service empty; environment_ready missing (legacy)
CVE-2024-1561,gradio,2,False,,,excluded,True,True,True,0,0,0,6,0,False,True,,,0,0,0,False,False,False,version<3; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2024-23897,jenkins,2,False,,,excluded,True,True,True,0,0,0,7,0,False,True,,,0,0,0,False,False,False,version<3; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2024-27198,teamcity,2,False,,,excluded,False,False,False,0,0,0,0,0,False,True,,,0,0,0,False,False,False,version<3; no source_bundle; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2024-27348,hugegraph,3,True,True,,review_required,True,True,True,0,0,0,4,0,False,True,,,2,0,2,True,True,True,required_service empty; environment_ready missing (legacy)
CVE-2024-28752,apache-cxf,2,False,,,excluded,False,False,False,0,0,0,0,0,False,True,,,0,0,0,False,False,False,version<3; no source_bundle; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2024-2961,php,2,False,,,excluded,False,False,False,0,0,0,0,0,False,True,,,0,0,0,False,False,False,version<3; no source_bundle; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2024-32114,activemq,2,False,,,excluded,False,False,False,0,0,0,0,0,False,True,,,0,0,0,False,False,False,version<3; no source_bundle; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2024-36401,geoserver,2,False,,,excluded,True,True,True,0,0,0,6,0,False,True,,,0,0,0,False,False,False,version<3; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2024-38856,ofbiz,3,True,True,,review_required,True,True,True,0,0,0,4,0,False,True,,,2,0,2,True,True,True,required_service empty; environment_ready missing (legacy)
CVE-2024-39907,1panel,2,False,,,excluded,False,False,False,0,0,0,0,0,False,True,,,0,0,0,False,False,False,version<3; no source_bundle; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2024-42323,hertzbeat,2,False,,,excluded,False,False,False,0,0,0,0,0,False,True,,,0,0,0,False,False,False,version<3; no source_bundle; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2024-43441,hugegraph,2,False,,,excluded,False,False,False,0,0,0,0,0,False,True,,,0,0,0,False,False,False,version<3; no source_bundle; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2024-4367,pdfjs,2,False,,,excluded,False,False,False,0,0,0,0,0,False,True,,,0,0,0,False,False,False,version<3; no source_bundle; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
