generated_at,snapshot_hash,cve_id,build_status,version,service_role,vuln_category,primary_mitre_phase,schema_v3,source_bundle_complete,source_bundle_hashed,self_contained_paths,runtime_spec_explicit,runtime_ready,runtime_build_reproducible,flag_contract_explicit,validation_contract_explicit,native_verified,service_contract_complete,verified_capability,guide_ready_valid,orchestrated_environment_verified,blockers,parse_error
2026-07-30T17:05:00.766779+00:00,1649e1ba411a85e2a29f8ce3be88daae737173169d49581c15964addc311a2e5,CVE-2025-13780,building,2,web_application,RCE,initial_access,False,False,False,True,False,False,False,False,False,False,False,False,False,False,schema_v3; source_bundle_complete; source_bundle_hashed; runtime_spec_explicit; runtime_ready; runtime_build_reproducible; flag_contract_explicit; validation_contract_explicit; native_verified; service_contract_complete; verified_capability; guide_ready_valid; orchestrated_environment_verified,
2026-07-30T17:05:00.766779+00:00,1649e1ba411a85e2a29f8ce3be88daae737173169d49581c15964addc311a2e5,CVE-2025-1974,building,2,middleware,RCE,initial_access,False,False,False,True,False,False,False,False,False,False,False,False,False,False,schema_v3; source_bundle_complete; source_bundle_hashed; runtime_spec_explicit; runtime_ready; runtime_build_reproducible; flag_contract_explicit; validation_contract_explicit; native_verified; service_contract_complete; verified_capability; guide_ready_valid; orchestrated_environment_verified,
2026-07-30T17:05:00.766779+00:00,1649e1ba411a85e2a29f8ce3be88daae737173169d49581c15964addc311a2e5,CVE-2025-24813,building,2,middleware,Deserialization,initial_access,False,True,True,True,True,False,False,True,True,False,True,False,False,False,schema_v3; runtime_ready; runtime_build_reproducible; native_verified; verified_capability; guide_ready_valid; orchestrated_environment_verified,
2026-07-30T17:05:00.766779+00:00,1649e1ba411a85e2a29f8ce3be88daae737173169d49581c15964addc311a2e5,CVE-2025-2945,building,2,web_application,RCE,execution,False,True,True,True,True,False,False,True,True,False,True,False,False,False,schema_v3; runtime_ready; runtime_build_reproducible; native_verified; verified_capability; guide_ready_valid; orchestrated_environment_verified,
2026-07-30T17:05:00.766779+00:00,1649e1ba411a85e2a29f8ce3be88daae737173169d49581c15964addc311a2e5,CVE-2025-29927,building,2,web_application,Auth_Bypass,initial_access,False,False,False,True,False,False,False,False,False,False,False,False,False,False,schema_v3; source_bundle_complete; source_bundle_hashed; runtime_spec_explicit; runtime_ready; runtime_build_reproducible; flag_contract_explicit; validation_contract_explicit; native_verified; service_contract_complete; verified_capability; guide_ready_valid; orchestrated_environment_verified,
2026-07-30T17:05:00.766779+00:00,1649e1ba411a85e2a29f8ce3be88daae737173169d49581c15964addc311a2e5,CVE-2025-30208,building,2,web_application,LFI,initial_access,False,True,True,True,True,False,False,True,True,False,True,False,False,False,schema_v3; runtime_ready; runtime_build_reproducible; native_verified; verified_capability; guide_ready_valid; orchestrated_environment_verified,
2026-07-30T17:05:00.766779+00:00,1649e1ba411a85e2a29f8ce3be88daae737173169d49581c15964addc311a2e5,CVE-2025-32395,building,2,web_application,LFI,initial_access,False,True,True,True,True,False,False,True,True,False,True,False,False,False,schema_v3; runtime_ready; runtime_build_reproducible; native_verified; verified_capability; guide_ready_valid; orchestrated_environment_verified,
2026-07-30T17:05:00.766779+00:00,1649e1ba411a85e2a29f8ce3be88daae737173169d49581c15964addc311a2e5,CVE-2025-32433,completed,3,system_service,RCE,initial_access,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
2026-07-30T17:05:00.766779+00:00,1649e1ba411a85e2a29f8ce3be88daae737173169d49581c15964addc311a2e5,CVE-2025-3248,building,2,web_application,RCE,initial_access,False,True,True,True,True,False,False,True,True,False,True,False,False,False,schema_v3; runtime_ready; runtime_build_reproducible; native_verified; verified_capability; guide_ready_valid; orchestrated_environment_verified,
2026-07-30T17:05:00.766779+00:00,1649e1ba411a85e2a29f8ce3be88daae737173169d49581c15964addc311a2e5,CVE-2025-41242,building,2,web_application,LFI,initial_access,False,True,True,True,True,False,False,True,True,False,True,False,False,False,schema_v3; runtime_ready; runtime_build_reproducible; native_verified; verified_capability; guide_ready_valid; orchestrated_environment_verified,
2026-07-30T17:05:00.766779+00:00,1649e1ba411a85e2a29f8ce3be88daae737173169d49581c15964addc311a2e5,CVE-2025-49001,building,3,web_application,RCE,initial_access,True,True,True,True,True,True,True,True,True,False,True,False,False,False,native_verified; verified_capability; guide_ready_valid; orchestrated_environment_verified,
2026-07-30T17:05:00.766779+00:00,1649e1ba411a85e2a29f8ce3be88daae737173169d49581c15964addc311a2e5,CVE-2025-54068,building,2,web_application,RCE,initial_access,False,False,False,True,False,False,False,False,False,False,False,False,False,False,schema_v3; source_bundle_complete; source_bundle_hashed; runtime_spec_explicit; runtime_ready; runtime_build_reproducible; flag_contract_explicit; validation_contract_explicit; native_verified; service_contract_complete; verified_capability; guide_ready_valid; orchestrated_environment_verified,
2026-07-30T17:05:00.766779+00:00,1649e1ba411a85e2a29f8ce3be88daae737173169d49581c15964addc311a2e5,CVE-2025-55182,completed,3,web_application,RCE,initial_access,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
